cuento,archivo,trial_id,text,n_words,word_id,motivo_eliminacion
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0026",vez hubo dos,3,"[1, 3]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0028",demostrarlo.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0029",como parecía.,2,"[1, 2]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0030",marido,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0035",delicada.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0037",su,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0038",empezó,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0039",Su,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0041",tejido,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0042",Cuando terminó,2,"[1, 2]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0043",cuando,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0044",llamó,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0045","acabó,",1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0046",marido,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0052",hombre la miró,3,"[1, 3]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0053",dar,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0054",preguntó,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0057",acostarse.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0060",Cuando,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0061",le rogó que,3,"[1, 1, 3]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0062","tiempo,",1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0063",por,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-003.json,"Ahora debería reírme, si no estuviera muerto::sub-003::seg_0064",dos,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-005.json,"Ahora debería reírme, si no estuviera muerto::sub-005::seg_0008","Además,",1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-005.json,"Ahora debería reírme, si no estuviera muerto::sub-005::seg_0009",estupenda.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-005.json,"Ahora debería reírme, si no estuviera muerto::sub-005::seg_0010","Además, sentía",2,"[1, 2]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-005.json,"Ahora debería reírme, si no estuviera muerto::sub-005::seg_0011",estupenda.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-005.json,"Ahora debería reírme, si no estuviera muerto::sub-005::seg_0029",Lo,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-005.json,"Ahora debería reírme, si no estuviera muerto::sub-005::seg_0031",pidió que,2,"[1, 2]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-005.json,"Ahora debería reírme, si no estuviera muerto::sub-005::seg_0032",féretro hasta,2,"[1, 2]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-006.json,"Ahora debería reírme, si no estuviera muerto::sub-006::seg_0001",Como,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-006.json,"Ahora debería reírme, si no estuviera muerto::sub-006::seg_0002",dos mujeres casadas,3,"[3, 1]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-006.json,"Ahora debería reírme, si no estuviera muerto::sub-006::seg_0010","Además, sentía",2,"[1, 2, 1, 1]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-006.json,"Ahora debería reírme, si no estuviera muerto::sub-006::seg_0011",estupenda.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-006.json,"Ahora debería reírme, si no estuviera muerto::sub-006::seg_0022",otra,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-006.json,"Ahora debería reírme, si no estuviera muerto::sub-006::seg_0031",velaron.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-009.json,"Ahora debería reírme, si no estuviera muerto::sub-009::seg_0010",marido iba,2,"[1, 2]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-009.json,"Ahora debería reírme, si no estuviera muerto::sub-009::seg_0011",empezó,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-009.json,"Ahora debería reírme, si no estuviera muerto::sub-009::seg_0022",hombre la miró,3,"[1, 3]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-009.json,"Ahora debería reírme, si no estuviera muerto::sub-009::seg_0023",nada.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-009.json,"Ahora debería reírme, si no estuviera muerto::sub-009::seg_0033",velaron.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-010.json,"Ahora debería reírme, si no estuviera muerto::sub-010::seg_0007",perceptible,1,"[1, 1]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-010.json,"Ahora debería reírme, si no estuviera muerto::sub-010::seg_0008",para,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-010.json,"Ahora debería reírme, si no estuviera muerto::sub-010::seg_0024",preguntó,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-010.json,"Ahora debería reírme, si no estuviera muerto::sub-010::seg_0029",velaron.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-010.json,"Ahora debería reírme, si no estuviera muerto::sub-010::seg_0031",Antes pidió que,3,"[1, 2, 3]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-010.json,"Ahora debería reírme, si no estuviera muerto::sub-010::seg_0040",imbécil,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-012.json,"Ahora debería reírme, si no estuviera muerto::sub-012::seg_0008",sentido.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-012.json,"Ahora debería reírme, si no estuviera muerto::sub-012::seg_0020",Pasemos ahora a,3,"[1, 3]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-012.json,"Ahora debería reírme, si no estuviera muerto::sub-012::seg_0029",velaron.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-013.json,"Ahora debería reírme, si no estuviera muerto::sub-013::seg_0006",Como,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-013.json,"Ahora debería reírme, si no estuviera muerto::sub-013::seg_0015",le,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-013.json,"Ahora debería reírme, si no estuviera muerto::sub-013::seg_0016",técnica de,2,"[1, 2]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-013.json,"Ahora debería reírme, si no estuviera muerto::sub-013::seg_0028",le,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-013.json,"Ahora debería reírme, si no estuviera muerto::sub-013::seg_0029",Él se lo,3,"[1, 3]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-013.json,"Ahora debería reírme, si no estuviera muerto::sub-013::seg_0033",velaron.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-013.json,"Ahora debería reírme, si no estuviera muerto::sub-013::seg_0034",Después,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-013.json,"Ahora debería reírme, si no estuviera muerto::sub-013::seg_0035",volvió,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-013.json,"Ahora debería reírme, si no estuviera muerto::sub-013::seg_0039",acostarse.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-013.json,"Ahora debería reírme, si no estuviera muerto::sub-013::seg_0042",entierro,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-013.json,"Ahora debería reírme, si no estuviera muerto::sub-013::seg_0043",estuviese muerto!».,2,"[1, 1, 1, 2]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0011",hombre la miró,3,"[3, 3, 1]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0013",divertía,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0017",ella le,2,"[2, 1]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0026",hombre,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0027",nada.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0028",hombre,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0029",casa,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0030",hombre la,2,"[1, 1, 2]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0031",como,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0032",hombre la miró,3,"[1, 3]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0033",funeraria.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0034",lo convenció,2,"[1, 2]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0036",creyó y fue,3,"[1, 3]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0038",lo,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0039",funeraria.,1,"[1, 1]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0041",Él,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0042",acostarse.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0043",preguntó,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0045",Ella,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0046",funeraria.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0047",le,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0048",respondió:,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0050",Ella respondió:,2,"[2, 1, 2, 2]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0053",entonces,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0056",velaron.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0058",contrató,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0059",metieron en el,3,"[3, 1, 1, 2]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0060",velaron.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0063",dos,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0064",un,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0066",Antes pidió que,3,"[2, 1, 3, 3]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0067",Cuando terminó,2,"[1, 2]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0068",ventanita,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0078",carcajadas,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0079",entierro se suspendió,3,"[3, 1]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-016.json,"Ahora debería reírme, si no estuviera muerto::sub-016::seg_0081",empate.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-018.json,"Ahora debería reírme, si no estuviera muerto::sub-018::seg_0029",Lo,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-021.json,"Ahora debería reírme, si no estuviera muerto::sub-021::seg_0028",velaron.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-021.json,"Ahora debería reírme, si no estuviera muerto::sub-021::seg_0030",Antes,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-021.json,"Ahora debería reírme, si no estuviera muerto::sub-021::seg_0031",tumba.,1,"[1, 1]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-024.json,"Ahora debería reírme, si no estuviera muerto::sub-024::seg_0025",velaron.,1,"[1, 1]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-024.json,"Ahora debería reírme, si no estuviera muerto::sub-024::seg_0027",pidió,1,"[1, 1]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-024.json,"Ahora debería reírme, si no estuviera muerto::sub-024::seg_0031",le,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-024.json,"Ahora debería reírme, si no estuviera muerto::sub-024::seg_0034",entierro se suspendió,3,"[1, 1, 3, 1, 3]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-024.json,"Ahora debería reírme, si no estuviera muerto::sub-024::seg_0035",pudo:,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-027.json,"Ahora debería reírme, si no estuviera muerto::sub-027::seg_0018",hombre la,2,"[1, 2]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-027.json,"Ahora debería reírme, si no estuviera muerto::sub-027::seg_0019",nada.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-027.json,"Ahora debería reírme, si no estuviera muerto::sub-027::seg_0027",velaron.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-028.json,"Ahora debería reírme, si no estuviera muerto::sub-028::seg_0014",esta,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-028.json,"Ahora debería reírme, si no estuviera muerto::sub-028::seg_0015",quedó a ayudarlo.,3,"[2, 1, 3, 3]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-028.json,"Ahora debería reírme, si no estuviera muerto::sub-028::seg_0026",respondió:,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-028.json,"Ahora debería reírme, si no estuviera muerto::sub-028::seg_0027",funeraria.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-028.json,"Ahora debería reírme, si no estuviera muerto::sub-028::seg_0028","preguntó por qué,",3,"[1, 3]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-028.json,"Ahora debería reírme, si no estuviera muerto::sub-028::seg_0030",preguntó por,2,"[2, 1]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-028.json,"Ahora debería reírme, si no estuviera muerto::sub-028::seg_0032","verdad,",1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-028.json,"Ahora debería reírme, si no estuviera muerto::sub-028::seg_0035",velaron.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-028.json,"Ahora debería reírme, si no estuviera muerto::sub-028::seg_0036",Después,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-028.json,"Ahora debería reírme, si no estuviera muerto::sub-028::seg_0037",velaron.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-028.json,"Ahora debería reírme, si no estuviera muerto::sub-028::seg_0046",no estuviese muerto!».,3,"[1, 2, 3]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-028.json,"Ahora debería reírme, si no estuviera muerto::sub-028::seg_0047",clarísimo,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-034.json,"Ahora debería reírme, si no estuviera muerto::sub-034::seg_0006",Con esa lana,3,"[1, 3]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-034.json,"Ahora debería reírme, si no estuviera muerto::sub-034::seg_0007",humano.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-034.json,"Ahora debería reírme, si no estuviera muerto::sub-034::seg_0010",bien,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-034.json,"Ahora debería reírme, si no estuviera muerto::sub-034::seg_0020",Pasemos,1,"[1, 1]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-034.json,"Ahora debería reírme, si no estuviera muerto::sub-034::seg_0021",dar,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-034.json,"Ahora debería reírme, si no estuviera muerto::sub-034::seg_0026",la,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-034.json,"Ahora debería reírme, si no estuviera muerto::sub-034::seg_0030",eso?».,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-034.json,"Ahora debería reírme, si no estuviera muerto::sub-034::seg_0037",Lo velaron.,2,"[1, 2, 2, 2]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-034.json,"Ahora debería reírme, si no estuviera muerto::sub-034::seg_0039",Lo,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-034.json,"Ahora debería reírme, si no estuviera muerto::sub-034::seg_0041",Lo,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-034.json,"Ahora debería reírme, si no estuviera muerto::sub-034::seg_0045",hasta,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-034.json,"Ahora debería reírme, si no estuviera muerto::sub-034::seg_0048",Cuando el,2,"[1, 2]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-034.json,"Ahora debería reírme, si no estuviera muerto::sub-034::seg_0049",contenerse,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-036.json,"Ahora debería reírme, si no estuviera muerto::sub-036::seg_0004",demostrarlo.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-036.json,"Ahora debería reírme, si no estuviera muerto::sub-036::seg_0005",el,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-036.json,"Ahora debería reírme, si no estuviera muerto::sub-036::seg_0006",demostrarlo.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-036.json,"Ahora debería reírme, si no estuviera muerto::sub-036::seg_0010",marido,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-036.json,"Ahora debería reírme, si no estuviera muerto::sub-036::seg_0012",esa lana,2,"[1, 2]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-036.json,"Ahora debería reírme, si no estuviera muerto::sub-036::seg_0013",haciendo,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-036.json,"Ahora debería reírme, si no estuviera muerto::sub-036::seg_0014","nada,",1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-036.json,"Ahora debería reírme, si no estuviera muerto::sub-036::seg_0018","explicación,",1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-036.json,"Ahora debería reírme, si no estuviera muerto::sub-036::seg_0019",tan delicada.,2,"[2, 1]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-036.json,"Ahora debería reírme, si no estuviera muerto::sub-036::seg_0025",telar,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-036.json,"Ahora debería reírme, si no estuviera muerto::sub-036::seg_0027","acabó,",1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-036.json,"Ahora debería reírme, si no estuviera muerto::sub-036::seg_0030",Pero él no,3,"[1, 3]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-036.json,"Ahora debería reírme, si no estuviera muerto::sub-036::seg_0031",hombre seguía,2,"[1, 2]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-036.json,"Ahora debería reírme, si no estuviera muerto::sub-036::seg_0042",velaron.,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-036.json,"Ahora debería reírme, si no estuviera muerto::sub-036::seg_0043",Después la mujer,3,"[1, 3]",input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-036.json,"Ahora debería reírme, si no estuviera muerto::sub-036::seg_0044",creyendo,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-036.json,"Ahora debería reírme, si no estuviera muerto::sub-036::seg_0051",también,1,[1],input_menos_de_4_palabras
"Ahora debería reírme, si no estuviera muerto",sub-039.json,"Ahora debería reírme, si no estuviera muerto::sub-039::seg_0001",decidieron,1,[1],input_menos_de_4_palabras
